year,season,silagetype,farmcode,samplingweek,samplingperiod,markerin,markerout
1,summer,B,24,3,2,233.099567,363.5879687
1,summer,B,29,1,2,38.95664681,82.08655646
1,summer,B,29,2,2,39.733292,107.9406449
1,summer,B,29,3,2,41.65215112,134.8290715
2,winter,A,4,1,3,9.345547438,6.652393101
2,winter,A,4,2,3,9.604238922,0
2,winter,A,4,3,3,9.383572226,5.920279862
2,winter,A,7,1,3,9.964199101,19.77080011
2,winter,A,7,2,3,10.23485329,24.60581774
2,winter,A,7,3,3,9.749332039,13.52020715
2,winter,A,10,1,3,0.214091762,8.406265476
2,winter,A,10,2,3,0.462214474,9.409532907
2,winter,A,10,3,3,0.242112161,11.60020724
2,winter,A,11,1,3,12.44629095,11.51838858
2,winter,A,11,2,3,11.96925877,11.19814443
2,winter,A,11,3,3,11.35099214,32.16990705
2,winter,A,18,1,3,10.02697078,3.670714567
2,winter,A,18,2,3,10.03661267,4.218891478
2,winter,A,18,3,3,10.84707609,0
2,winter,A,21,1,3,3.577898125,8.476588968
2,winter,A,21,2,3,3.874179948,7.354669162
2,winter,A,21,3,3,3.763020637,0
2,winter,A,25,1,3,1.789202822,0
2,winter,A,25,2,3,2.204488518,0
2,winter,A,25,3,3,2.898688156,38.08997574
2,winter,A,26,1,3,0,0
2,winter,A,26,2,3,0,0
2,winter,A,26,3,3,0,0
2,winter,A,27,1,3,0,0
2,winter,A,27,2,3,0,0
2,winter,A,27,3,3,0,0
2,winter,A,28,1,3,35.88452594,45.13980986
2,winter,A,28,2,3,36.78695902,28.44771366
2,winter,A,28,3,3,35.06850565,22.5191961
2,winter,B,1,1,3,13.86751468,103.4889389
2,winter,B,1,2,3,13.63385664,147.0792408
2,winter,B,1,3,3,14.16667746,133.1948905
2,winter,B,2,1,3,0.937344048,0
2,winter,B,2,2,3,1.478544289,0
2,winter,B,2,3,3,2.008919958,5.688785833
2,winter,B,3,1,3,51.20025422,571.0295052
2,winter,B,3,2,3,52.0566464,636.694666
2,winter,B,3,3,3,51.27407946,499.8999624
2,winter,B,5,1,3,29.65114463,36.42329602
2,winter,B,5,2,3,28.77736248,75.0116895
2,winter,B,5,3,3,28.491545,58.55960199
2,winter,B,6,1,3,101.61283,154.6132132
2,winter,B,6,2,3,113.0889349,277.5849335
2,winter,B,6,3,3,110.4944282,226.2692166
2,winter,B,9,1,3,0,0
2,winter,B,9,2,3,0,0
2,winter,B,9,3,3,0,0
2,winter,B,13,1,3,10.8471423,216.4087235
2,winter,B,13,2,3,10.87220281,142.629257
2,winter,B,13,3,3,10.39300529,110.00865
2,winter,B,17,1,3,9.08399466,79.45918444
2,winter,B,17,2,3,8.026480077,31.21340218
2,winter,B,17,3,3,8.173464868,41.33041933
2,winter,B,19,1,3,0,9.693994077
