diet,sex,subject,day,weight
ds,female,95,3,10.1
ds,male,96,3,8.2
ds,female,99,3,20.4
ds,female,100,3,8.7
sf,male,101,3,5.4
sf,male,107,3,6.6
sf,female,112,3,5.2
sf,female,113,3,6.9
sf,male,115,3,2.9
sf,male,120,3,6.6
sf,female,123,3,4
sf,male,135,3,6.1
sf,female,139,3,3.4
sf,male,150,3,7.8
ag,male,1,4,11.4
ag,female,2,4,7.8
ag,female,7,4,13.5
ag,male,8,4,4.5
ag,female,9,4,11.5
ag,female,12,4,10.5
ag,male,14,4,8.2
ag,female,15,4,10.4
ag,female,16,4,6.6
ag,male,18,4,10.2
ag,female,19,4,16.7
ag,female,20,4,8.6
ag,male,23,4,10.5
ag,female,24,4,10.1
ag,male,26,4,8.9
ag,male,28,4,9.5
ag,female,30,4,8.4
ag,female,31,4,9.2
ag,female,36,4,9.4
ag,male,39,4,10.5
ag,male,40,4,9.6
ag,female,41,4,5.9
ag,male,42,4,15.4
ag,female,48,4,11.6
ds,female,51,4,13.7
ds,female,52,4,18.1
ds,female,53,4,26.1
ds,female,54,4,17.5
ds,male,56,4,20
ds,male,57,4,8.7
ds,female,58,4,22.7
ds,female,59,4,17.2
ds,female,60,4,6.4
ds,female,61,4,22.3
ds,female,62,4,21
ds,female,63,4,10.8
ds,female,65,4,14.3
ds,male,66,4,6.2
ds,female,68,4,21
ds,male,69,4,18.9
ds,female,70,4,23.9
ds,female,71,4,NA
ds,male,72,4,8.7
ds,male,73,4,11.9
ds,female,74,4,19.8
ds,male,75,4,8
ds,female,76,4,16
ds,male,77,4,20.4
ds,male,78,4,22
ds,male,79,4,19.5
ds,female,80,4,19.8
ds,male,81,4,21.8
ds,female,82,4,28.1
ds,female,83,4,8.5
ds,female,84,4,20.6
ds,male,85,4,19.9
ds,male,86,4,17
ds,female,87,4,6.5
ds,male,88,4,7.2
ds,male,89,4,18.8
ds,male,90,4,21.3
ds,female,91,4,15.5
ds,male,93,4,20.7
ds,male,94,4,14.3
ds,female,95,4,22.1
ds,male,96,4,8.3
ds,female,99,4,24.5
ds,female,100,4,8.2
sf,male,101,4,7.6
sf,male,107,4,10.5
sf,female,112,4,9.5
sf,female,113,4,6.2
sf,male,115,4,3.5
sf,male,120,4,10.9
sf,female,123,4,7.8
sf,male,135,4,6.8
sf,female,139,4,8.4
sf,male,150,4,10.6
ag,male,1,5,11.6
ag,female,2,5,7.7
ag,female,7,5,15.8
ag,male,8,5,6
ag,female,9,5,12.3
ag,female,12,5,11.6
ag,male,14,5,9.4
ag,female,15,5,11.9
ag,female,16,5,8.5
ag,male,18,5,16.6
ag,female,19,5,18.6
ag,female,20,5,11.5
ag,male,23,5,11.8
ag,female,24,5,13.5
ag,male,26,5,9.3
ag,male,28,5,15.3
ag,female,30,5,9.2
ag,female,31,5,15.2
ag,female,36,5,9
ag,male,39,5,10.5
ag,male,40,5,11.6
ag,female,41,5,9.4
ag,male,42,5,16.4
ag,female,48,5,11.4
ds,female,51,5,26.8
ds,female,52,5,26.7
ds,female,53,5,29.8
ds,female,54,5,22.2
ds,male,56,5,24
ds,male,57,5,18.2
ds,female,58,5,28.2
ds,female,59,5,20.6
ds,female,60,5,14.3
ds,female,61,5,25.8
ds,female,62,5,26.2
ds,female,63,5,13.9
ds,female,65,5,24.9
ds,male,66,5,8.7
ds,female,68,5,23.9
ds,male,69,5,23.5
ds,female,70,5,28
ds,female,71,5,23.8
ds,male,72,5,15.7
ds,male,73,5,18.6
ds,female,74,5,25.7
ds,male,75,5,18
ds,female,76,5,28.5
ds,male,77,5,24
ds,male,78,5,20.8
ds,male,79,5,23.3
ds,female,80,5,29.1
ds,male,81,5,23.6
ds,female,82,5,27.6
ds,female,83,5,8.5
ds,female,84,5,29.8
ds,male,85,5,25.5
ds,male,86,5,22.4
ds,female,87,5,5.7
ds,male,88,5,14.8
ds,male,89,5,24.2
ds,male,90,5,24.1
ds,female,91,5,21
ds,male,93,5,25.1
ds,male,94,5,19.3
ds,female,95,5,31
ds,male,96,5,19.2
ds,female,99,5,30
ds,female,100,5,29.9
sf,male,101,5,8.1
sf,male,107,5,14.6
sf,female,112,5,9.1
sf,female,113,5,11.1
sf,male,115,5,3.4
sf,male,120,5,11.1
sf,female,123,5,7.3
sf,male,135,5,8.1
sf,female,139,5,8.1
sf,male,150,5,19.2
ag,male,1,6,17.1
ag,female,2,6,15.9
ag,female,7,6,24.1
ag,male,8,6,13.9
ag,female,9,6,26.6
ag,female,12,6,17.9
ag,male,14,6,17.8
ag,female,15,6,23.4
ag,female,16,6,16.9
ag,male,18,6,20.8
ag,female,19,6,27.9
ag,female,20,6,18.6
ag,male,23,6,17.6
ag,female,24,6,21.2
ag,male,26,6,19.2
ag,male,28,6,15.1
ag,female,30,6,18.5
ag,female,31,6,19.1
ag,female,36,6,19.7
ag,male,39,6,20.5
ag,male,40,6,21.9
ag,female,41,6,12.6
ag,male,42,6,15.3
ag,female,48,6,27.4
ds,female,51,6,28.2
ds,female,52,6,25.6
ds,female,53,6,42.5
ds,female,54,6,22.6
ds,male,56,6,24.1
ds,male,57,6,22.4
ds,female,58,6,27.1
ds,female,59,6,20
ds,female,60,6,16.5
ds,female,61,6,32.3
ds,female,62,6,25.2
ds,female,63,6,16.8
ds,female,65,6,23.6
ds,male,66,6,12.7
ds,female,68,6,30.9
ds,male,69,6,34.9
ds,female,70,6,26.9
ds,female,71,6,41.5
ds,male,72,6,15.3
ds,male,73,6,18.3
ds,female,74,6,24.8
ds,male,75,6,20.2
ds,female,76,6,33.1
ds,male,77,6,22.7
ds,male,78,6,39.6
ds,male,79,6,27.9
ds,female,80,6,28.5
ds,male,81,6,22.8
ds,female,82,6,44
ds,female,83,6,20.4
ds,female,84,6,29
ds,male,85,6,25
ds,male,86,6,22.1
ds,female,87,6,10.5
ds,male,88,6,20.2
ds,male,89,6,23.9
ds,male,90,6,22.6
ds,female,91,6,21.1
ds,male,93,6,24.3
ds,male,94,6,30.5
ds,female,95,6,30.7
ds,male,96,6,23.6
ds,female,99,6,50
ds,female,100,6,28.7
sf,male,101,6,14.2
sf,male,107,6,17.6
sf,female,112,6,11.5
sf,female,113,6,17
sf,male,115,6,4.2
sf,male,120,6,18.2
sf,female,123,6,11.4
sf,male,135,6,15.8
sf,female,139,6,11.6
sf,male,150,6,18.7
ag,male,1,7,19.9
ag,female,2,7,19.7
ag,female,7,7,23.2
ag,male,8,7,16.7
ag,female,9,7,24.3
ag,female,12,7,21.6
ag,male,14,7,15.8
ag,female,15,7,21
ag,female,16,7,23.9
ag,male,18,7,23.8
ag,female,19,7,31.5
ag,female,20,7,28.1
ag,male,23,7,22.6
ag,female,24,7,23.2
ag,male,26,7,19.1
ag,male,28,7,25.7
ag,female,30,7,23.5
ag,female,31,7,20
ag,female,36,7,24
ag,male,39,7,18.4
ag,male,40,7,21
ag,female,41,7,16.5
ag,male,42,7,19.9
ag,female,48,7,26.1
ds,female,51,7,42
ds,female,52,7,43.4
ds,female,53,7,63.9
ds,female,54,7,41.6
ds,male,56,7,45.4
ds,male,57,7,20.2
ds,female,58,7,52.4
ds,female,59,7,33.5
ds,female,60,7,19.9
