"Statistic","Quarter","County","UNIT","VALUE"
"New House Registrations","1999Q1","Wicklow","Number","74"
"New House Registrations","1999Q1","Clare","Number","337"
"New House Registrations","1999Q1","Cork","Number","938"
"New House Registrations","1999Q1","Kerry","Number","189"
"New House Registrations","1999Q1","Limerick","Number","403"
"New House Registrations","1999Q1","Tipperary","Number","307"
"New House Registrations","1999Q1","Waterford","Number","239"
"New House Registrations","1999Q1","Galway","Number","479"
"New House Registrations","1999Q1","Leitrim","Number","38"
"New House Registrations","1999Q1","Mayo","Number","179"
"New House Registrations","1999Q1","Roscommon","Number","35"
"New House Registrations","1999Q1","Sligo","Number","111"
"New House Registrations","1999Q1","Cavan","Number","83"
"New House Registrations","1999Q1","Donegal","Number","194"
"New House Registrations","1999Q1","Monaghan","Number","3"
"New House Registrations","1999Q2","All Counties","Number","8659"
"New House Registrations","1999Q2","Carlow","Number","83"
"New House Registrations","1999Q2","Dublin","Number","2085"
"New House Registrations","1999Q2","Kildare","Number","736"
"New House Registrations","1999Q2","Kilkenny","Number","89"
"New House Registrations","1999Q2","Laois","Number","184"
"New House Registrations","1999Q2","Longford","Number","4"
"New House Registrations","1999Q2","Louth","Number","330"
"New House Registrations","1999Q2","Meath","Number","673"
"New House Registrations","1999Q2","Offaly","Number","117"
"New House Registrations","1999Q2","Westmeath","Number","283"
"New House Registrations","1999Q2","Wexford","Number","449"
"New House Registrations","1999Q2","Wicklow","Number","229"
"New House Registrations","1999Q2","Clare","Number","259"
"New House Registrations","1999Q2","Cork","Number","932"
"New House Registrations","1999Q2","Kerry","Number","221"
"New House Registrations","1999Q2","Limerick","Number","372"
"New House Registrations","1999Q2","Tipperary","Number","265"
"New House Registrations","1999Q2","Waterford","Number","266"
"New House Registrations","1999Q2","Galway","Number","411"
"New House Registrations","1999Q2","Leitrim","Number","42"
"New House Registrations","1999Q2","Mayo","Number","240"
"New House Registrations","1999Q2","Roscommon","Number","55"
"New House Registrations","1999Q2","Sligo","Number","59"
"New House Registrations","1999Q2","Cavan","Number","38"
"New House Registrations","1999Q2","Donegal","Number","226"
"New House Registrations","1999Q2","Monaghan","Number","11"
"New House Registrations","1999Q3","All Counties","Number","8526"
"New House Registrations","1999Q3","Carlow","Number","77"
"New House Registrations","1999Q3","Dublin","Number","2297"
"New House Registrations","1999Q3","Kildare","Number","406"
"New House Registrations","1999Q3","Kilkenny","Number","137"
"New House Registrations","1999Q3","Laois","Number","173"
"New House Registrations","1999Q3","Longford","Number","28"
"New House Registrations","1999Q3","Louth","Number","254"
"New House Registrations","1999Q3","Meath","Number","690"
"New House Registrations","1999Q3","Offaly","Number","116"
"New House Registrations","1999Q3","Westmeath","Number","219"
"New House Registrations","1999Q3","Wexford","Number","345"
"New House Registrations","1999Q3","Wicklow","Number","242"
"New House Registrations","1999Q3","Clare","Number","323"
"New House Registrations","1999Q3","Cork","Number","1199"
"New House Registrations","1999Q3","Kerry","Number","173"
"New House Registrations","1999Q3","Limerick","Number","442"
"New House Registrations","1999Q3","Tipperary","Number","225"
"New House Registrations","1999Q3","Waterford","Number","304"
"New House Registrations","1999Q3","Galway","Number","280"
"New House Registrations","1999Q3","Leitrim","Number","34"
"New House Registrations","1999Q3","Mayo","Number","120"
"New House Registrations","1999Q3","Roscommon","Number","52"
"New House Registrations","1999Q3","Sligo","Number","97"
"New House Registrations","1999Q3","Cavan","Number","58"
"New House Registrations","1999Q3","Donegal","Number","227"
"New House Registrations","1999Q3","Monaghan","Number","8"
"New House Registrations","1999Q4","All Counties","Number","8670"
"New House Registrations","1999Q4","Carlow","Number","89"
"New House Registrations","1999Q4","Dublin","Number","2611"
"New House Registrations","1999Q4","Kildare","Number","380"
"New House Registrations","1999Q4","Kilkenny","Number","151"
"New House Registrations","1999Q4","Laois","Number","56"
"New House Registrations","1999Q4","Longford","Number","4"
"New House Registrations","1999Q4","Louth","Number","309"
"New House Registrations","1999Q4","Meath","Number","448"
"New House Registrations","1999Q4","Offaly","Number","125"
"New House Registrations","1999Q4","Westmeath","Number","298"
"New House Registrations","1999Q4","Wexford","Number","343"
"New House Registrations","1999Q4","Wicklow","Number","144"
"New House Registrations","1999Q4","Clare","Number","239"
"New House Registrations","1999Q4","Cork","Number","1105"
"New House Registrations","1999Q4","Kerry","Number","144"
"New House Registrations","1999Q4","Limerick","Number","326"
"New House Registrations","1999Q4","Tipperary","Number","227"
"New House Registrations","1999Q4","Waterford","Number","110"
"New House Registrations","1999Q4","Galway","Number","551"
"New House Registrations","1999Q4","Leitrim","Number","106"
"New House Registrations","1999Q4","Mayo","Number","291"
"New House Registrations","1999Q4","Roscommon","Number","41"
"New House Registrations","1999Q4","Sligo","Number","124"
"New House Registrations","1999Q4","Cavan","Number","50"
"New House Registrations","1999Q4","Donegal","Number","373"
"New House Registrations","1999Q4","Monaghan","Number","25"
"New House Registrations","2000Q1","All Counties","Number","9494"
"New House Registrations","2000Q1","Carlow","Number","127"
"New House Registrations","2000Q1","Dublin","Number","2673"
"New House Registrations","2000Q1","Kildare","Number","458"
"New House Registrations","2000Q1","Kilkenny","Number","217"
"New House Registrations","2000Q1","Laois","Number","65"
"New House Registrations","2000Q1","Longford","Number","2"
"New House Registrations","2000Q1","Louth","Number","214"
"New House Registrations","2000Q1","Meath","Number","520"
"New House Registrations","2000Q1","Offaly","Number","122"
"New House Registrations","2000Q1","Westmeath","Number","316"
"New House Registrations","2000Q1","Wexford","Number","405"
"New House Registrations","2000Q1","Wicklow","Number","183"
"New House Registrations","2000Q1","Clare","Number","243"
"New House Registrations","2000Q1","Cork","Number","1126"
"New House Registrations","2000Q1","Kerry","Number","192"
"New House Registrations","2000Q1","Limerick","Number","437"
"New House Registrations","2000Q1","Tipperary","Number","343"
"New House Registrations","2000Q1","Waterford","Number","362"
"New House Registrations","2000Q1","Galway","Number","693"
"New House Registrations","2000Q1","Leitrim","Number","64"
"New House Registrations","2000Q1","Mayo","Number","243"
"New House Registrations","2000Q1","Roscommon","Number","50"
"New House Registrations","2000Q1","Sligo","Number","84"
"New House Registrations","2000Q1","Cavan","Number","43"
"New House Registrations","2000Q1","Donegal","Number","288"
"New House Registrations","2000Q1","Monaghan","Number","24"
"New House Registrations","2000Q2","All Counties","Number","10757"
"New House Registrations","2000Q2","Carlow","Number","50"
"New House Registrations","2000Q2","Dublin","Number","2448"
"New House Registrations","2000Q2","Kildare","Number","706"
"New House Registrations","2000Q2","Kilkenny","Number","176"
"New House Registrations","2000Q2","Laois","Number","203"
"New House Registrations","2000Q2","Longford","Number","3"
"New House Registrations","2000Q2","Louth","Number","307"
"New House Registrations","2000Q2","Meath","Number","828"
"New House Registrations","2000Q2","Offaly","Number","250"
"New House Registrations","2000Q2","Westmeath","Number","327"
"New House Registrations","2000Q2","Wexford","Number","547"
"New House Registrations","2000Q2","Wicklow","Number","196"
"New House Registrations","2000Q2","Clare","Number","290"
"New House Registrations","2000Q2","Cork","Number","1506"
"New House Registrations","2000Q2","Kerry","Number","298"
"New House Registrations","2000Q2","Limerick","Number","448"
"New House Registrations","2000Q2","Tipperary","Number","255"
"New House Registrations","2000Q2","Waterford","Number","366"
"New House Registrations","2000Q2","Galway","Number","538"
"New House Registrations","2000Q2","Leitrim","Number","59"
"New House Registrations","2000Q2","Mayo","Number","326"
"New House Registrations","2000Q2","Roscommon","Number","54"
"New House Registrations","2000Q2","Sligo","Number","145"
"New House Registrations","2000Q2","Cavan","Number","108"
"New House Registrations","2000Q2","Donegal","Number","283"
"New House Registrations","2000Q2","Monaghan","Number","40"
"New House Registrations","2000Q3","All Counties","Number","7937"
"New House Registrations","2000Q3","Carlow","Number","106"
"New House Registrations","2000Q3","Dublin","Number","1655"
"New House Registrations","2000Q3","Kildare","Number","519"
"New House Registrations","2000Q3","Kilkenny","Number","123"
"New House Registrations","2000Q3","Laois","Number","262"
"New House Registrations","2000Q3","Longford","Number","40"
"New House Registrations","2000Q3","Louth","Number","508"
"New House Registrations","2000Q3","Meath","Number","839"
"New House Registrations","2000Q3","Offaly","Number","106"
"New House Registrations","2000Q3","Westmeath","Number","135"
"New House Registrations","2000Q3","Wexford","Number","335"
"New House Registrations","2000Q3","Wicklow","Number","361"
"New House Registrations","2000Q3","Clare","Number","253"
"New House Registrations","2000Q3","Cork","Number","753"
"New House Registrations","2000Q3","Kerry","Number","136"
"New House Registrations","2000Q3","Limerick","Number","254"
"New House Registrations","2000Q3","Tipperary","Number","272"
"New House Registrations","2000Q3","Waterford","Number","263"
"New House Registrations","2000Q3","Galway","Number","326"
"New House Registrations","2000Q3","Leitrim","Number","47"
"New House Registrations","2000Q3","Mayo","Number","170"
"New House Registrations","2000Q3","Roscommon","Number","72"
"New House Registrations","2000Q3","Sligo","Number","78"
"New House Registrations","2000Q3","Cavan","Number","39"
"New House Registrations","2000Q3","Donegal","Number","172"
"New House Registrations","2000Q3","Monaghan","Number","113"
"New House Registrations","2000Q4","All Counties","Number","6425"
"New House Registrations","2000Q4","Carlow","Number","86"
"New House Registrations","2000Q4","Dublin","Number","1346"
"New House Registrations","2000Q4","Kildare","Number","381"
"New House Registrations","2000Q4","Kilkenny","Number","91"
"New House Registrations","2000Q4","Laois","Number","279"
"New House Registrations","2000Q4","Longford","Number","58"
"New House Registrations","2000Q4","Louth","Number","269"
"New House Registrations","2000Q4","Meath","Number","408"
"New House Registrations","2000Q4","Offaly","Number","160"
"New House Registrations","2000Q4","Westmeath","Number","198"
"New House Registrations","2000Q4","Wexford","Number","410"
"New House Registrations","2000Q4","Wicklow","Number","74"
"New House Registrations","2000Q4","Clare","Number","105"
"New House Registrations","2000Q4","Cork","Number","1039"
"New House Registrations","2000Q4","Kerry","Number","113"
"New House Registrations","2000Q4","Limerick","Number","242"
"New House Registrations","2000Q4","Tipperary","Number","154"
"New House Registrations","2000Q4","Waterford","Number","130"
"New House Registrations","2000Q4","Galway","Number","274"
"New House Registrations","2000Q4","Leitrim","Number","89"
"New House Registrations","2000Q4","Mayo","Number","164"
"New House Registrations","2000Q4","Roscommon","Number","78"
"New House Registrations","2000Q4","Sligo","Number","62"
"New House Registrations","2000Q4","Cavan","Number","80"
"New House Registrations","2000Q4","Donegal","Number","107"
"New House Registrations","2000Q4","Monaghan","Number","28"
"New House Registrations","2001Q1","All Counties","Number","7803"
"New House Registrations","2001Q1","Carlow","Number","169"
"New House Registrations","2001Q1","Dublin","Number","1982"
"New House Registrations","2001Q1","Kildare","Number","503"
"New House Registrations","2001Q1","Kilkenny","Number","164"
"New House Registrations","2001Q1","Laois","Number","90"
"New House Registrations","2001Q1","Longford","Number","7"
"New House Registrations","2001Q1","Louth","Number","296"
"New House Registrations","2001Q1","Meath","Number","703"
"New House Registrations","2001Q1","Offaly","Number","142"
"New House Registrations","2001Q1","Westmeath","Number","331"
"New House Registrations","2001Q1","Wexford","Number","343"
"New House Registrations","2001Q1","Wicklow","Number","250"
"New House Registrations","2001Q1","Clare","Number","122"
"New House Registrations","2001Q1","Cork","Number","774"
"New House Registrations","2001Q1","Kerry","Number","152"
"New House Registrations","2001Q1","Limerick","Number","259"
"New House Registrations","2001Q1","Tipperary","Number","190"
"New House Registrations","2001Q1","Waterford","Number","170"
"New House Registrations","2001Q1","Galway","Number","395"
"New House Registrations","2001Q1","Leitrim","Number","42"
"New House Registrations","2001Q1","Mayo","Number","63"
"New House Registrations","2001Q1","Roscommon","Number","70"
"New House Registrations","2001Q1","Sligo","Number","86"
"New House Registrations","2001Q1","Cavan","Number","67"
"New House Registrations","2001Q1","Donegal","Number","296"
"New House Registrations","2001Q1","Monaghan","Number","137"
"New House Registrations","2001Q2","All Counties","Number","7866"
"New House Registrations","2001Q2","Carlow","Number","74"
"New House Registrations","2001Q2","Dublin","Number","2513"
"New House Registrations","2001Q2","Kildare","Number","547"
"New House Registrations","2001Q2","Kilkenny","Number","229"
"New House Registrations","2001Q2","Laois","Number","112"
"New House Registrations","2001Q2","Longford","Number","44"
"New House Registrations","2001Q2","Louth","Number","298"
"New House Registrations","2001Q2","Meath","Number","433"
"New House Registrations","2001Q2","Offaly","Number","84"
"New House Registrations","2001Q2","Westmeath","Number","207"
"New House Registrations","2001Q2","Wexford","Number","214"
"New House Registrations","2001Q2","Wicklow","Number","340"
"New House Registrations","2001Q2","Clare","Number","207"
"New House Registrations","2001Q2","Cork","Number","797"
"New House Registrations","2001Q2","Kerry","Number","156"
"New House Registrations","2001Q2","Limerick","Number","212"
"New House Registrations","2001Q2","Tipperary","Number","133"
"New House Registrations","2001Q2","Waterford","Number","335"
"New House Registrations","2001Q2","Galway","Number","386"
"New House Registrations","2001Q2","Leitrim","Number","34"
"New House Registrations","2001Q2","Mayo","Number","119"
"New House Registrations","2001Q2","Roscommon","Number","89"
"New House Registrations","2001Q2","Sligo","Number","94"
"New House Registrations","2001Q2","Cavan","Number","61"
"New House Registrations","2001Q2","Donegal","Number","146"
"New House Registrations","2001Q2","Monaghan","Number","2"
"New House Registrations","2001Q3","All Counties","Number","7092"
"New House Registrations","2001Q3","Carlow","Number","56"
"New House Registrations","2001Q3","Dublin","Number","2333"
"New House Registrations","2001Q3","Kildare","Number","431"
"New House Registrations","2001Q3","Kilkenny","Number","155"
"New House Registrations","2001Q3","Laois","Number","126"
"New House Registrations","2001Q3","Longford","Number","17"
"New House Registrations","2001Q3","Louth","Number","107"
"New House Registrations","2001Q3","Meath","Number","589"
"New House Registrations","2001Q3","Offaly","Number","106"
"New House Registrations","2001Q3","Westmeath","Number","93"
"New House Registrations","2001Q3","Wexford","Number","239"
"New House Registrations","2001Q3","Wicklow","Number","216"
"New House Registrations","2001Q3","Clare","Number","197"
"New House Registrations","2001Q3","Cork","Number","793"
"New House Registrations","2001Q3","Kerry","Number","203"
"New House Registrations","2001Q3","Limerick","Number","123"
"New House Registrations","2001Q3","Tipperary","Number","157"
"New House Registrations","2001Q3","Waterford","Number","176"
"New House Registrations","2001Q3","Galway","Number","412"
"New House Registrations","2001Q3","Leitrim","Number","103"
"New House Registrations","2001Q3","Mayo","Number","138"
"New House Registrations","2001Q3","Roscommon","Number","43"
"New House Registrations","2001Q3","Sligo","Number","65"
"New House Registrations","2001Q3","Cavan","Number","67"
"New House Registrations","2001Q3","Donegal","Number","143"
"New House Registrations","2001Q3","Monaghan","Number","4"
"New House Registrations","2001Q4","All Counties","Number","6084"
"New House Registrations","2001Q4","Carlow","Number","6"
"New House Registrations","2001Q4","Dublin","Number","1896"
"New House Registrations","2001Q4","Kildare","Number","452"
"New House Registrations","2001Q4","Kilkenny","Number","100"
"New House Registrations","2001Q4","Laois","Number","18"
"New House Registrations","2001Q4","Longford","Number","63"
"New House Registrations","2001Q4","Louth","Number","154"
"New House Registrations","2001Q4","Meath","Number","268"
"New House Registrations","2001Q4","Offaly","Number","67"
"New House Registrations","2001Q4","Westmeath","Number","146"
"New House Registrations","2001Q4","Wexford","Number","253"
"New House Registrations","2001Q4","Wicklow","Number","172"
"New House Registrations","2001Q4","Clare","Number","122"
"New House Registrations","2001Q4","Cork","Number","593"
"New House Registrations","2001Q4","Kerry","Number","128"
"New House Registrations","2001Q4","Limerick","Number","268"
"New House Registrations","2001Q4","Tipperary","Number","58"
"New House Registrations","2001Q4","Waterford","Number","200"
"New House Registrations","2001Q4","Galway","Number","587"
"New House Registrations","2001Q4","Leitrim","Number","134"
"New House Registrations","2001Q4","Mayo","Number","87"
"New House Registrations","2001Q4","Roscommon","Number","87"
"New House Registrations","2001Q4","Sligo","Number","90"
"New House Registrations","2001Q4","Cavan","Number","6"
"New House Registrations","2001Q4","Donegal","Number","125"
"New House Registrations","2001Q4","Monaghan","Number","4"
"New House Registrations","2002Q1","All Counties","Number","11096"
"New House Registrations","2002Q1","Carlow","Number","92"
"New House Registrations","2002Q1","Dublin","Number","3473"
"New House Registrations","2002Q1","Kildare","Number","419"
"New House Registrations","2002Q1","Kilkenny","Number","204"
"New House Registrations","2002Q1","Laois","Number","147"
"New House Registrations","2002Q1","Longford","Number","82"
"New House Registrations","2002Q1","Louth","Number","272"
"New House Registrations","2002Q1","Meath","Number","556"
"New House Registrations","2002Q1","Offaly","Number","123"
"New House Registrations","2002Q1","Westmeath","Number","232"
"New House Registrations","2002Q1","Wexford","Number","475"
"New House Registrations","2002Q1","Wicklow","Number","258"
"New House Registrations","2002Q1","Clare","Number","180"
"New House Registrations","2002Q1","Cork","Number","1460"
"New House Registrations","2002Q1","Kerry","Number","396"
"New House Registrations","2002Q1","Limerick","Number","392"
"New House Registrations","2002Q1","Tipperary","Number","180"
"New House Registrations","2002Q1","Waterford","Number","397"
"New House Registrations","2002Q1","Galway","Number","973"
"New House Registrations","2002Q1","Leitrim","Number","38"
"New House Registrations","2002Q1","Mayo","Number","160"
"New House Registrations","2002Q1","Roscommon","Number","100"
"New House Registrations","2002Q1","Sligo","Number","108"
"New House Registrations","2002Q1","Cavan","Number","69"
"New House Registrations","2002Q1","Donegal","Number","253"
"New House Registrations","2002Q1","Monaghan","Number","57"
"New House Registrations","2002Q2","All Counties","Number","14316"
"New House Registrations","2002Q2","Carlow","Number","129"
"New House Registrations","2002Q2","Dublin","Number","5115"
"New House Registrations","2002Q2","Kildare","Number","746"
"New House Registrations","2002Q2","Kilkenny","Number","261"
"New House Registrations","2002Q2","Laois","Number","132"
"New House Registrations","2002Q2","Longford","Number","71"
"New House Registrations","2002Q2","Louth","Number","476"
"New House Registrations","2002Q2","Meath","Number","776"
"New House Registrations","2002Q2","Offaly","Number","169"
"New House Registrations","2002Q2","Westmeath","Number","238"
"New House Registrations","2002Q2","Wexford","Number","503"
"New House Registrations","2002Q2","Wicklow","Number","392"
"New House Registrations","2002Q2","Clare","Number","285"
"New House Registrations","2002Q2","Cork","Number","1674"
"New House Registrations","2002Q2","Kerry","Number","337"
"New House Registrations","2002Q2","Limerick","Number","490"
"New House Registrations","2002Q2","Tipperary","Number","343"
"New House Registrations","2002Q2","Waterford","Number","489"
"New House Registrations","2002Q2","Galway","Number","697"
"New House Registrations","2002Q2","Leitrim","Number","81"
"New House Registrations","2002Q2","Mayo","Number","169"
"New House Registrations","2002Q2","Roscommon","Number","173"
"New House Registrations","2002Q2","Sligo","Number","189"
"New House Registrations","2002Q2","Cavan","Number","99"
"New House Registrations","2002Q2","Donegal","Number","258"
"New House Registrations","2002Q2","Monaghan","Number","24"
"New House Registrations","2002Q3","All Counties","Number","13584"
"New House Registrations","2002Q3","Carlow","Number","108"
"New House Registrations","2002Q3","Dublin","Number","5038"
"New House Registrations","2002Q3","Kildare","Number","606"
"New House Registrations","2002Q3","Kilkenny","Number","228"
"New House Registrations","2002Q3","Laois","Number","236"
"New House Registrations","2002Q3","Longford","Number","29"
"New House Registrations","2002Q3","Louth","Number","256"
"New House Registrations","2002Q3","Meath","Number","967"
"New House Registrations","2002Q3","Offaly","Number","201"
"New House Registrations","2002Q3","Westmeath","Number","384"
"New House Registrations","2002Q3","Wexford","Number","324"
"New House Registrations","2002Q3","Wicklow","Number","403"
"New House Registrations","2002Q3","Clare","Number","269"
"New House Registrations","2002Q3","Cork","Number","1445"
"New House Registrations","2002Q3","Kerry","Number","419"
"New House Registrations","2002Q3","Limerick","Number","502"
"New House Registrations","2002Q3","Tipperary","Number","334"
"New House Registrations","2002Q3","Waterford","Number","332"
"New House Registrations","2002Q3","Galway","Number","696"
"New House Registrations","2002Q3","Leitrim","Number","10"
"New House Registrations","2002Q3","Mayo","Number","291"
"New House Registrations","2002Q3","Roscommon","Number","59"
"New House Registrations","2002Q3","Sligo","Number","119"
"New House Registrations","2002Q3","Cavan","Number","116"
"New House Registrations","2002Q3","Donegal","Number","156"
"New House Registrations","2002Q3","Monaghan","Number","56"
"New House Registrations","2002Q4","All Counties","Number","12021"
"New House Registrations","2002Q4","Carlow","Number","100"
"New House Registrations","2002Q4","Dublin","Number","4617"
"New House Registrations","2002Q4","Kildare","Number","421"
"New House Registrations","2002Q4","Kilkenny","Number","371"
"New House Registrations","2002Q4","Laois","Number","306"
"New House Registrations","2002Q4","Longford","Number","56"
"New House Registrations","2002Q4","Louth","Number","336"
"New House Registrations","2002Q4","Meath","Number","605"
"New House Registrations","2002Q4","Offaly","Number","147"
"New House Registrations","2002Q4","Westmeath","Number","177"
"New House Registrations","2002Q4","Wexford","Number","309"
"New House Registrations","2002Q4","Wicklow","Number","292"
"New House Registrations","2002Q4","Clare","Number","130"
"New House Registrations","2002Q4","Cork","Number","1425"
"New House Registrations","2002Q4","Kerry","Number","409"
"New House Registrations","2002Q4","Limerick","Number","440"
"New House Registrations","2002Q4","Tipperary","Number","241"
"New House Registrations","2002Q4","Waterford","Number","332"
"New House Registrations","2002Q4","Galway","Number","575"
"New House Registrations","2002Q4","Leitrim","Number","84"
"New House Registrations","2002Q4","Mayo","Number","217"
"New House Registrations","2002Q4","Roscommon","Number","15"
"New House Registrations","2002Q4","Sligo","Number","140"
"New House Registrations","2002Q4","Cavan","Number","86"
"New House Registrations","2002Q4","Donegal","Number","137"
"New House Registrations","2002Q4","Monaghan","Number","53"
"New House Registrations","2003Q1","All Counties","Number","13754"
"New House Registrations","2003Q1","Carlow","Number","162"
"New House Registrations","2003Q1","Dublin","Number","3758"
"New House Registrations","2003Q1","Kildare","Number","727"
"New House Registrations","2003Q1","Kilkenny","Number","220"
"New House Registrations","2003Q1","Laois","Number","422"
"New House Registrations","2003Q1","Longford","Number","61"
"New House Registrations","2003Q1","Louth","Number","508"
"New House Registrations","2003Q1","Meath","Number","942"
"New House Registrations","2003Q1","Offaly","Number","188"
"New House Registrations","2003Q1","Westmeath","Number","301"
"New House Registrations","2003Q1","Wexford","Number","460"
"New House Registrations","2003Q1","Wicklow","Number","408"
"New House Registrations","2003Q1","Clare","Number","386"
"New House Registrations","2003Q1","Cork","Number","1469"
"New House Registrations","2003Q1","Kerry","Number","290"
"New House Registrations","2003Q1","Limerick","Number","650"
"New House Registrations","2003Q1","Tipperary","Number","420"
"New House Registrations","2003Q1","Waterford","Number","361"
"New House Registrations","2003Q1","Galway","Number","886"
"New House Registrations","2003Q1","Leitrim","Number","97"
"New House Registrations","2003Q1","Mayo","Number","260"
"New House Registrations","2003Q1","Roscommon","Number","63"
"New House Registrations","2003Q1","Sligo","Number","212"
"New House Registrations","2003Q1","Cavan","Number","110"
"New House Registrations","2003Q1","Donegal","Number","349"
"New House Registrations","2003Q1","Monaghan","Number","44"
"New House Registrations","2003Q2","All Counties","Number","14395"
"New House Registrations","2003Q2","Carlow","Number","149"
"New House Registrations","2003Q2","Dublin","Number","4545"
"New House Registrations","2003Q2","Kildare","Number","862"
"New House Registrations","2003Q2","Kilkenny","Number","282"
"New House Registrations","2003Q2","Laois","Number","314"
"New House Registrations","2003Q2","Longford","Number","5"
"New House Registrations","2003Q2","Louth","Number","410"
"New House Registrations","2003Q2","Meath","Number","1023"
"New House Registrations","2003Q2","Offaly","Number","418"
"New House Registrations","2003Q2","Westmeath","Number","394"
"New House Registrations","2003Q2","Wexford","Number","417"
"New House Registrations","2003Q2","Wicklow","Number","391"
"New House Registrations","2003Q2","Clare","Number","261"
"New House Registrations","2003Q2","Cork","Number","1721"
"New House Registrations","2003Q2","Kerry","Number","298"
"New House Registrations","2003Q2","Limerick","Number","466"
"New House Registrations","2003Q2","Tipperary","Number","321"
"New House Registrations","2003Q2","Waterford","Number","424"
"New House Registrations","2003Q2","Galway","Number","556"
"New House Registrations","2003Q2","Leitrim","Number","120"
"New House Registrations","2003Q2","Mayo","Number","188"
"New House Registrations","2003Q2","Roscommon","Number","146"
"New House Registrations","2003Q2","Sligo","Number","231"
"New House Registrations","2003Q2","Cavan","Number","109"
"New House Registrations","2003Q2","Donegal","Number","271"
"New House Registrations","2003Q2","Monaghan","Number","73"
"New House Registrations","2003Q3","All Counties","Number","14420"
"New House Registrations","2003Q3","Carlow","Number","254"
"New House Registrations","2003Q3","Dublin","Number","3937"
"New House Registrations","2003Q3","Kildare","Number","798"
"New House Registrations","2003Q3","Kilkenny","Number","279"
"New House Registrations","2003Q3","Laois","Number","71"
"New House Registrations","2003Q3","Longford","Number","235"
"New House Registrations","2003Q3","Louth","Number","450"
"New House Registrations","2003Q3","Meath","Number","865"
"New House Registrations","2003Q3","Offaly","Number","437"
"New House Registrations","2003Q3","Westmeath","Number","423"
"New House Registrations","2003Q3","Wexford","Number","416"
"New House Registrations","2003Q3","Wicklow","Number","548"
"New House Registrations","2003Q3","Clare","Number","242"
"New House Registrations","2003Q3","Cork","Number","1300"
"New House Registrations","2003Q3","Kerry","Number","282"
"New House Registrations","2003Q3","Limerick","Number","1049"
"New House Registrations","2003Q3","Tipperary","Number","467"
"New House Registrations","2003Q3","Waterford","Number","366"
"New House Registrations","2003Q3","Galway","Number","845"
"New House Registrations","2003Q3","Leitrim","Number","115"
"New House Registrations","2003Q3","Mayo","Number","217"
"New House Registrations","2003Q3","Roscommon","Number","148"
"New House Registrations","2003Q3","Sligo","Number","172"
"New House Registrations","2003Q3","Cavan","Number","179"
"New House Registrations","2003Q3","Donegal","Number","320"
"New House Registrations","2003Q3","Monaghan","Number","5"
"New House Registrations","2003Q4","All Counties","Number","14290"
"New House Registrations","2003Q4","Carlow","Number","154"
"New House Registrations","2003Q4","Dublin","Number","4468"
"New House Registrations","2003Q4","Kildare","Number","877"
"New House Registrations","2003Q4","Kilkenny","Number","165"
"New House Registrations","2003Q4","Laois","Number","345"
"New House Registrations","2003Q4","Longford","Number","118"
"New House Registrations","2003Q4","Louth","Number","395"
"New House Registrations","2003Q4","Meath","Number","785"
"New House Registrations","2003Q4","Offaly","Number","177"
"New House Registrations","2003Q4","Westmeath","Number","491"
"New House Registrations","2003Q4","Wexford","Number","291"
"New House Registrations","2003Q4","Wicklow","Number","774"
"New House Registrations","2003Q4","Clare","Number","268"
"New House Registrations","2003Q4","Cork","Number","1337"
"New House Registrations","2003Q4","Kerry","Number","402"
"New House Registrations","2003Q4","Limerick","Number","1032"
"New House Registrations","2003Q4","Tipperary","Number","203"
"New House Registrations","2003Q4","Waterford","Number","424"
"New House Registrations","2003Q4","Galway","Number","524"
"New House Registrations","2003Q4","Leitrim","Number","184"
"New House Registrations","2003Q4","Mayo","Number","290"
"New House Registrations","2003Q4","Roscommon","Number","88"
"New House Registrations","2003Q4","Sligo","Number","150"
"New House Registrations","2003Q4","Cavan","Number","174"
"New House Registrations","2003Q4","Donegal","Number","138"
"New House Registrations","2003Q4","Monaghan","Number","36"
"New House Registrations","2004Q1","All Counties","Number","15391"
"New House Registrations","2004Q1","Carlow","Number","248"
"New House Registrations","2004Q1","Dublin","Number","4402"
"New House Registrations","2004Q1","Kildare","Number","549"
"New House Registrations","2004Q1","Kilkenny","Number","261"
"New House Registrations","2004Q1","Laois","Number","236"
"New House Registrations","2004Q1","Longford","Number","295"
"New House Registrations","2004Q1","Louth","Number","426"
"New House Registrations","2004Q1","Meath","Number","1057"
"New House Registrations","2004Q1","Offaly","Number","167"
"New House Registrations","2004Q1","Westmeath","Number","409"
"New House Registrations","2004Q1","Wexford","Number","627"
"New House Registrations","2004Q1","Wicklow","Number","471"
"New House Registrations","2004Q1","Clare","Number","299"
"New House Registrations","2004Q1","Cork","Number","1691"
"New House Registrations","2004Q1","Kerry","Number","394"
"New House Registrations","2004Q1","Limerick","Number","1022"
"New House Registrations","2004Q1","Tipperary","Number","442"
"New House Registrations","2004Q1","Waterford","Number","493"
"New House Registrations","2004Q1","Galway","Number","570"
"New House Registrations","2004Q1","Leitrim","Number","115"
"New House Registrations","2004Q1","Mayo","Number","264"
"New House Registrations","2004Q1","Roscommon","Number","255"
"New House Registrations","2004Q1","Sligo","Number","168"
"New House Registrations","2004Q1","Cavan","Number","239"
"New House Registrations","2004Q1","Donegal","Number","265"
"New House Registrations","2004Q1","Monaghan","Number","26"
