"Statistic","Quarter","County","UNIT","VALUE"
"New House Registrations","1995Q1","Dublin","Number","3229"
"New House Registrations","1995Q1","Kildare","Number","361"
"New House Registrations","1995Q1","Kilkenny","Number","107"
"New House Registrations","1995Q1","Laois","Number","45"
"New House Registrations","1995Q1","Longford","Number","5"
"New House Registrations","1995Q1","Louth","Number","102"
"New House Registrations","1995Q1","Meath","Number","109"
"New House Registrations","1995Q1","Offaly","Number","19"
"New House Registrations","1995Q1","Westmeath","Number","69"
"New House Registrations","1995Q1","Wexford","Number","133"
"New House Registrations","1995Q1","Wicklow","Number","135"
"New House Registrations","1995Q1","Clare","Number","96"
"New House Registrations","1995Q1","Cork","Number","440"
"New House Registrations","1995Q1","Kerry","Number","91"
"New House Registrations","1995Q1","Limerick","Number","247"
"New House Registrations","1995Q1","Tipperary","Number","73"
"New House Registrations","1995Q1","Waterford","Number","181"
"New House Registrations","1995Q1","Galway","Number","232"
"New House Registrations","1995Q1","Leitrim","Number","3"
"New House Registrations","1995Q1","Mayo","Number","96"
"New House Registrations","1995Q1","Roscommon","Number","24"
"New House Registrations","1995Q1","Sligo","Number","43"
"New House Registrations","1995Q1","Cavan","Number","17"
"New House Registrations","1995Q1","Donegal","Number","150"
"New House Registrations","1995Q1","Monaghan","Number","30"
"New House Registrations","1995Q2","All Counties","Number","5097"
"New House Registrations","1995Q2","Carlow","Number","42"
"New House Registrations","1995Q2","Dublin","Number","1845"
"New House Registrations","1995Q2","Kildare","Number","330"
"New House Registrations","1995Q2","Kilkenny","Number","70"
"New House Registrations","1995Q2","Laois","Number","86"
"New House Registrations","1995Q2","Longford","Number","3"
"New House Registrations","1995Q2","Louth","Number","156"
"New House Registrations","1995Q2","Meath","Number","197"
"New House Registrations","1995Q2","Offaly","Number","25"
"New House Registrations","1995Q2","Westmeath","Number","99"
"New House Registrations","1995Q2","Wexford","Number","118"
"New House Registrations","1995Q2","Wicklow","Number","219"
"New House Registrations","1995Q2","Clare","Number","137"
"New House Registrations","1995Q2","Cork","Number","582"
"New House Registrations","1995Q2","Kerry","Number","87"
"New House Registrations","1995Q2","Limerick","Number","273"
"New House Registrations","1995Q2","Tipperary","Number","144"
"New House Registrations","1995Q2","Waterford","Number","152"
"New House Registrations","1995Q2","Galway","Number","216"
"New House Registrations","1995Q2","Leitrim","Number","2"
